,statusText,price,address,addressZipcode,beds,baths,area,rentZestimate,variableData.text,units
389,House for rent,4250,"2711 Deerpark Dr, San Diego, CA 92110",92110,3.0,2.0,2100.0,3981.0,10 days ago,
390,Apartment for rent,5250,"5605 Friars Rd UNIT 285, San Diego, CA 92110",92110,3.0,2.0,1331.0,3770.0,39 days ago,
391,Townhouse for rent,4995,"5971 Mildred St APT 5, San Diego, CA 92110",92110,3.0,3.5,1900.0,5105.0,42 days ago,
392,Townhouse for rent,2995,"4150 Loma Riviera Ln, San Diego, CA 92110",92110,2.0,2.0,1440.0,3493.0,26 days ago,
393,Apartment for rent,2645,"Point Loma Palms, 3152 Kemper St UNIT 7, San Diego, CA 92110",92110,1.0,1.0,650.0,,13 days ago,
394,Apartment for rent,2650,"1912 San Diego Ave APT 10, San Diego, CA 92110",92110,2.0,2.0,950.0,3581.0,12 days ago,
395,Apartment for rent,1900,"5446 Lauretta St APT C, San Diego, CA 92110",92110,2.0,1.0,850.0,2699.0,3 days ago,
396,Apartment for rent,2699,"Loma Village, 3175 Cauby St, San Diego, CA 92110",92110,2.0,1.0,918.0,3133.0,39 days ago,
397,Apartment for rent,3495,"Mission West Lofts, 3975 Old Town Ave UNIT 6, San Diego, CA 92110",92110,2.0,2.0,950.0,3489.0,42 days ago,
398,Apartment for rent,2988,"5810 Riley St APT 6, San Diego, CA 92110",92110,2.0,1.0,958.0,3284.0,1 day ago,
399,Apartment for rent,2600,"2383 Jefferson St, San Diego, CA 92110",92110,2.0,1.0,830.0,2683.0,7 days ago,
400,Apartment for rent,4700,"4106 Venus St #B, San Diego, CA 92110",92110,3.0,2.0,1450.0,4745.0,6 days ago,
401,Townhouse for rent,2895,"5655 Riley St, San Diego, CA 92110",92110,2.0,2.0,1030.0,2350.0,4 days ago,
402,Apartment for rent,2395,"5840 Lauretta St, San Diego, CA 92110",92110,2.0,1.0,700.0,,7 days ago,
403,Townhouse for rent,4500,"(undisclosed Address), San Diego, CA 92110",92110,3.0,2.0,1450.0,2100.0,6 days ago,
404,Apartment for rent,2925,"3215 Midway Dr UNIT 701, San Diego, CA 92110",92110,2.0,2.0,951.0,3569.0,8 days ago,
405,Apartment for rent,7500,"FRESNO, 1134-1148 Fresno St #1134, San Diego, CA 92110",92110,4.0,3.5,1837.0,,4 days ago,
406,House for rent,3488,"5895 Friars Rd APT 5111, San Diego, CA 92110",92110,2.0,2.0,1176.0,3399.0,21 days ago,
407,Apartment for rent,2550,"2537 Chicago St, 2537 Chicago St #7, San Diego, CA 92110",92110,2.0,1.0,725.0,2808.0,11 days ago,
408,Townhouse for rent,3200,"1209 Hueneme St UNIT 1-13, San Diego, CA 92110",92110,2.0,2.0,1121.0,,8 days ago,
409,House for rent,3150,"3131 Groton Way UNIT 4, San Diego, CA 92110",92110,2.0,2.0,1018.0,3543.0,3D Tour,
410,Townhouse for rent,2945,"1111 Eureka St APT 3, San Diego, CA 92110",92110,2.0,2.5,1040.0,3293.0,9 days ago,
411,House for rent,5500,"4957 Southcrest Ave, San Diego, CA 92110",92110,3.0,1.0,1329.0,4496.0,15 days ago,
412,Apartment for rent,8125,"Riley St, 5845-5855 Riley St #5845, San Diego, CA 92110",92110,5.0,4.0,2700.0,,4 days ago,
413,Apartment for rent,3600,"3098 Rue D Orleans #227, San Diego, CA 92110",92110,3.0,2.0,1372.0,3695.0,42 days ago,
414,House for rent,3150,"2168 Cowley Way, San Diego, CA 92110",92110,3.0,1.0,1247.0,3758.0,28 days ago,
